Lupin Ltd. (India),,,,,,
,,,,,,
                Trade and other payables,"3,45,654.55","3,54,800.48","3,07,908.71","3,01,147.25","2,74,055.94",
                Provisions for other liabilities and charges,"31,920.49","62,962.15","62,652.57","63,715.67","1,06,711.54",
                Other current liabilities,"1,33,220.54","1,37,201.21","1,05,927.13","93,388.35","24,990.24",
                Current income tax liabilities,"51,432.90","51,471.74","51,688.89","54,626.81","18,613.78",
,,,,,,
Cash Flow Statement ,2025 ,2024 ,2023 ,2022 ,2021 ,
    Exchange rate (IFRS) ,84.57 ,82.79 ,80.40 ,74.51 ,74.20 ,
    Net cash flow from (used in) operating activities,"3,54,729.58","4,40,664.99","2,35,983.72","49,295.38","2,45,516.78",
    Net cash flow from (used in) investing activities,"-4,93,307.47","-2,06,807.06","-1,60,051.85","1,73,425.65","-1,67,056.96",
    Net cash flow from (used in) financing activities,"2,04,787.12","-2,63,818.50","-41,948.05","-2,11,015.54","-2,54,075.96",
    Net increase (decrease) in cash and cash equivalents,"66,209.24","-29,960.57","33,983.82","11,705.49","-1,75,616.14",
    Cash at the beginning of the period,"1,16,325.25","1,48,783.44","1,23,309.22","1,24,304.73","3,00,441.89",
    Cash at the end of the period,"1,82,534.49","1,18,822.86","1,57,293.04","1,36,010.22","1,24,825.75",
    Capital Expenditure (CapEx),"1,95,469.37","1,10,715.82",0 ,0 ,0 ,
,,,,,,
,,,,,,
,,,,,,
